id,name,rank,website,domain,headquarters,category,cagr
bdf0d649-5fe5-46f2-87c7-1ad7e89c3916,Energie de Loire (EDL),39,,,France,Energy & Utilities,217
56dea183-7441-4b56-a3e8-516cb6da6691,KCS C&C,42,,,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,214.3
12cd90de-968a-4c31-a4ef-837632aaddf7,Wingstop UK,164,,,United Kingdom of Great Britain and Northern Ireland,Hospitality & Travel,121.9
4587f466-8d3f-45a2-98d5-99aaed24e800,Eb Facility,175,,,Italy,Manufacturing,118.4
d3c351dd-668a-456b-8a74-71deea514c5a,KB CARS,180,,,Germany,Automotive,115.2
3152bcd7-b91d-4b03-8dfb-4e8cc9de9f91,Vers-Kompass,182,,,Germany,"Fintech, Financial Services & Insurance",115.1
5f792f44-b663-43c4-acbd-3b220dcea2c9,Elevate,262,,,France,IT & Software,95.2
70790f4d-5569-46dc-8e67-4371fb257749,Langhammer,269,,,Germany,Automotive,94.7
a88b5b69-5dc9-40ea-9878-ae90ab983d06,inte-QT,270,,,Spain,Media & Telecommunications,94.3
517b9200-526b-404c-8b7a-c699af91f66f,Voltaïca,273,,,France,Energy & Utilities,94
77ab0612-484c-412b-9936-dfeb3922e2f7,BG Legno,275,,,Italy,Construction & Engineering,93.7
b3f74726-b9b3-42de-8d20-319fd21c9c99,Viaggigiovani.it,280,,,Italy,Hospitality & Travel,92.3
a645d9c7-12ce-41f3-bb00-608cde4dce70,Karl & Léon,292,,,France,Wholesale,89.9
f3c56948-2e74-42d2-9c2e-8979f9a0199c,Metric,299,,,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",88.5
5198050d-22bb-4665-944f-4d31ebeb0293,Greentech,303,,,Italy,Construction & Engineering,87.7
8385c268-b1c7-4099-ab6d-d36b8a3f70ff,ItalianGres,305,,,Italy,Construction & Engineering,87.7
5c0ca19e-fe5a-4c05-adf1-9e920446eca3,eXalt,306,,,France,Management consulting,87.6
1dbecd36-a2f0-43f8-bd40-7f356c1d9382,Axtom,311,,,France,Real Estate,87.3
3a650bc8-a457-4af9-b939-9a86f13ba305,G&P Intech,313,,,Italy,Construction & Engineering,87.2
653e8830-b08f-43e0-8391-924df323032b,EGT-Wirth,315,,,Germany,Construction & Engineering,86.9
eede57fe-3bdc-49eb-9d1c-0e8cb16ccd84,Digitalisim,316,,,France,Media & Telecommunications,86.9
c68f6a48-3e70-470f-bd4a-dc9f48448004,Bonum,317,,,Italy,Wholesale,86.6
09a7a1f5-1672-4512-acc8-90c6d1ff7268,Scalizer,318,,,France,IT & Software,86.4
c32ad170-5a4e-4642-82ff-c145ea9a3e2d,Elettro A.M.,327,,,Italy,Manufacturing,84.5
67d73507-ff23-4908-9a92-c52e02cb4448,GUSTO,328,,,France,Food & Beverages,84.3
1cc4522c-ae23-429e-9f8e-8a378b6097c2,CR Payroll,330,,,Ireland,"Fintech, Financial Services & Insurance",84.2
0ea03048-4bc7-44ba-9693-db6e17ea7e78,Words + Pixels,331,,,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,84.2
8e156029-6064-4d2a-84b1-852c96e736f0,Energynat,334,,,Poland,Wholesale,83.8
e32d4e97-b690-4ca4-872b-63754c6d1fa7,BAURIX,337,,,Germany,Ecommerce,83.5
840cfb9d-150d-47e1-bc0f-0c13e7f1024b,Southenergy,339,,,Italy,Energy & Utilities,83
1930ac4c-e3db-4b58-968b-c1d732e7765b,Prodivi,341,,,Lithuania,IT & Software,82.6
e4454a75-5dd5-49d7-8b1a-d8b093ada70e,LeHibou,346,,,France,IT & Software,81.9
ceb7f981-34b3-4f1d-bf9c-b3c9796cd9de,SCHMABO,348,,,Germany,Construction & Engineering,81.5
cb6dbbc1-8d14-4ac5-aa24-da1faedc01e8,Brocchetta,352,,,Italy,Food & Beverages,80.9
30d9255f-35f5-4c45-84e1-5e035c355ce1,Kahoot!,369,,,Norway,IT & Software,79.1
29f30a1c-5336-406b-b314-40c650cf2598,Dronivo,373,,,Germany,Electrical Manufacturing,78.4
5e531ce8-7b0a-4d2e-b223-f21283d8e76d,SnackLab,378,,,Poland,Food & Beverages,78.1
17b3b4e0-3eff-4254-a284-be26088f8e28,Studio Ekó,380,,,Italy,Construction & Engineering,77.9
07af0250-2a62-4d5a-a426-8e83d20bbc49,BuyAssociation,382,,,United Kingdom of Great Britain and Northern Ireland,Real Estate,77.7
c5ad4833-5385-484c-9f57-9d6451d32e68,Cyclamen,387,,,France,Waste Management & recycling,76.3
901b626f-2006-4c25-9d00-06305a478e36,Opencast,388,,,United Kingdom of Great Britain and Northern Ireland,IT & Software,76.2
5688665c-eebd-490a-be00-d41479e39d70,MK Group,389,,,Germany,Construction & Engineering,76.2
8d2686e8-656e-47cb-af42-215d7eeb0b75,PaperDigits,394,,,"Netherlands, Kingdom of the",Advertising & Marketing,75.8
6e5cf9a0-0cd7-48d4-949a-bdd7c94adba3,Obiz,396,,,France,Advertising & Marketing,75.5
c9f3141b-0cb7-4b0e-9c58-a2b5d4c26ce4,BitQ,410,,,Italy,IT & Software,74.1
0b7d73bb-fe6a-4fd1-807a-a270855c6414,PetroSol,413,,,Romania,IT & Software,73.7
340996f5-a3be-457e-a923-ebe9fe156d15,Seats.io,414,,,Belgium,IT & Software,73.3
0c48f471-ed5b-43ea-9b3c-da3966931126,Feedgy,415,,,France,Energy & Utilities,73.2
62e66326-27e9-4609-a778-e812502e6e3f,FLOK AG,417,,,Switzerland,Hospitality & Travel,73.1
ab61b1fc-d2eb-40ed-a96e-a19c6fb73a9b,Domum-Bau,420,,,Germany,Construction & Engineering,72.7
6e03f8b7-5958-499b-b1e0-70679fcb0718,Reos,421,,,Germany,Real Estate,72.7
5d186ca2-da90-4f54-bc00-bd1e79dff6e2,Garaude,422,,,France,Wholesale,72.5
03fb96ae-6e00-431f-adc4-365bb74dd351,Isoterma,424,,,Italy,Construction & Engineering,72.3
73fc2378-fcaa-46a5-a2dd-63c0f8e60cf8,Bluewave,429,,,"Netherlands, Kingdom of the",Advertising & Marketing,71.3
ea5c1fe2-e414-4469-8bb7-edcce5062888,Mare20,432,,,Italy,Hospitality & Travel,70.8
e53bd6d2-2746-4017-8238-2755c01f29a6,ProjektBauer,433,,,Switzerland,Advertising & Marketing,70.6
44bf8597-fddf-4dcd-99a5-ce315dcd4f5c,Ninesquared,435,,,Italy,Apparel & Fashion,70.3
3a138385-bf4d-40b9-9acb-8977c66b49fe,Pinsami,438,,,Italy,Food & Beverages,70.1
7327013c-6e0c-4a98-a8b2-72afdc52c7f0,Englputzeder,441,,,Austria,Ecommerce,69.6
6fbfeef5-58fc-4c78-887d-e4e5dc7b64f2,SIKURO,443,,,Italy,IT & Software,68.7
983aac78-e0bc-44a6-8108-0e83a234a8d8,INNPRO,450,,,Poland,Wholesale,67.7
e483b081-4477-4891-8878-5c6baa3c90c3,Skills,461,,,Italy,Education & Social Services,66.6
bd140a78-b352-40e4-9831-895a25fedb62,B+S Bau und Sicherungsgesellschaft,462,,,Germany,Logistics & Transportation,66.5
09afc22e-3e42-408a-a0de-5f8c1f972b2c,Elettro D/E-Meraki,464,,,Italy,Energy & Utilities,66.4
76a474af-8d21-4447-ab0b-5b163e607711,HD Insurance,467,,,Cyprus,"Fintech, Financial Services & Insurance",65.7
b6fd7039-55bf-48ff-9f8a-ceecaba2abc3,NúNú,468,,,Iceland,"Fintech, Financial Services & Insurance",65.6
f92a7b18-cb47-4ac3-8663-06cf2d44d58d,PPC,473,,,Germany,Media & Telecommunications,65.1
6f907bd7-b0ae-4b9c-97ac-a240e91bece3,Dialectica,479,,,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",64.6
a8ecdbfd-0f17-4216-9493-c29cd17f2597,releva,481,,,Germany,Advertising & Marketing,64.5
7ccdef98-3812-4df7-8c0a-9aa28bec1d0e,weLOG,482,,,Germany,Logistics & Transportation,64.4
caaedc09-2fe3-441d-8f66-c761835c2300,Rifò,488,,,Italy,Apparel & Fashion,63.9
8650ca52-e9f4-4c8c-9409-630d392d45af,HF S.r.l. (Accaeffe Building Solutions),493,,,Italy,Construction & Engineering,63.5
8514121f-5832-42dd-b163-6a1499445adb,Ares,498,,,France,Energy & Utilities,63.2
057f4b4b-5385-4f1b-b086-7b79aa6b8001,Digital Factory Telecom (DFT),500,,,France,IT & Software,63
049fc088-ff62-4175-b013-737f355b1c21,Alleop,508,,,Bulgaria,Ecommerce,62.1
11b2baa4-3e8e-4d23-b53e-da2c28a4dfa3,2Solar,514,,,"Netherlands, Kingdom of the",IT & Software,61.9
7ff47789-f3b9-4e93-be84-cd0cf7020504,A&M Unternehmerberatung,515,,,Germany,Advertising & Marketing,61.9
